source,researchProductId,imageUrl,position,type,status,mime,size,localPath
lewpe,cmtumcanq01p9m5etdcrb1ozl,http://www.lewpe.com/cdn/shop/files/tomar-bentwood-pleated-floor-lamp-white-hero-unlit.png?v=1788300687&width=2048,0,primary,DOWNLOADED,image/png,1855841,research-assets/lewpe/bentwood-pleated-floor-lamp/img-0.png
lewpe,cmtumcanq01p9m5etdcrb1ozl,https://www.lewpe.com/cdn/shop/files/tomar-bentwood-pleated-floor-lamp-white-hero-unlit.png?v=1788300687&width=1200,1,gallery,DOWNLOADED,image/png,1728201,research-assets/lewpe/bentwood-pleated-floor-lamp/img-1.png
lewpe,cmtumcanq01p9m5etdcrb1ozl,https://www.lewpe.com/cdn/shop/files/tomar-bentwood-pleated-floor-lamp-coffee-hero-unlit.png?v=1788300687&width=1200,2,gallery,DOWNLOADED,image/png,1782789,research-assets/lewpe/bentwood-pleated-floor-lamp/img-2.png
lewpe,cmtumcanq01p9m5etdcrb1ozl,https://www.lewpe.com/cdn/shop/files/tomar-bentwood-pleated-floor-lamp-beige-hero-unlit.png?v=1788369848&width=1200,3,gallery,VALIDATED,image/png,1674792,
lewpe,cmtumcanq01p9m5etdcrb1ozl,https://www.lewpe.com/cdn/shop/files/tomar-bentwood-pleated-floor-lamp-white-product.png?v=1778793121&width=1000,4,gallery,VALIDATED,image/png,1197619,
lewpe,cmtumcanq01p9m5etdcrb1ozl,https://www.lewpe.com/cdn/shop/files/tomar-bentwood-pleated-floor-lamp-white-leather-chair.png?v=1778793121&width=1000,5,gallery,VALIDATED,image/png,719960,
lewpe,cmtumcanq01p9m5etdcrb1ozl,https://www.lewpe.com/cdn/shop/files/tomar-bentwood-pleated-floor-lamp-coffee-sectional.jpg?v=1778793121&width=2000,6,gallery,VALIDATED,image/jpeg,370483,
lewpe,cmtumcanq01p9m5etdcrb1ozl,https://www.lewpe.com/cdn/shop/files/tomar-bentwood-pleated-floor-lamp-white-curved-sofa.jpg?v=1778793121&width=2000,7,gallery,VALIDATED,image/jpeg,430003,
lewpe,cmtumcanq01p9m5etdcrb1ozl,https://www.lewpe.com/cdn/shop/files/tomar-bentwood-pleated-floor-lamp-white-loft.jpg?v=1778793121&width=2000,8,gallery,REJECTED,,,
lewpe,cmtumcanq01p9m5etdcrb1ozl,https://www.lewpe.com/cdn/shop/files/tomar-bentwood-pleated-floor-lamp-white-reading-nook.jpg?v=1778793121&width=2000,9,gallery,REJECTED,,,
